,index,inner_0,inner_1,inner_2,inner_3,outer_0,outer_1,outer_2,outer_3,outer_4,outer_5,frame_ID,bbox,area,perimeter,aspect_ratio
83,"(0, '[247, 252, 276, 282]')",0.17120774,4.294506,-3.113323,0.2021545,-2.1840496,-0.7594225,0.65982425,0.21980862,0.43170944,0.08052645,0,"[247, 252, 276, 282]",692.0,96.42641,0.96666664
84,"(0, '[382, 258, 393, 271]')",0.3347452,-3.3859816,-0.4996224,1.1673439,-2.4400089,2.1207988,-1.8480505,0.2558676,-0.8796598,0.041405447,0,"[382, 258, 393, 271]",115.0,36.970562,0.84615386
85,"(0, '[280, 262, 293, 275]')",-0.9481611,-3.0208602,-2.600256,0.34193283,-2.7337172,-3.1265879,-0.121665195,0.4463454,-0.35323668,0.060378127,0,"[280, 262, 293, 275]",131.0,40.970562,1.0
86,"(0, '[230, 265, 340, 318]')",5.079194,12.899751,-2.8965855,4.1724744,-0.42591673,1.7523295,0.24972276,0.27938882,-0.3416943,-0.031451628,0,"[230, 265, 340, 318]",3308.0,272.20816,2.0754716
87,"(0, '[13, 268, 28, 284]')",-1.8550204,-0.29660833,-1.0829567,-1.1857201,-2.716925,-2.4378884,-0.3159586,0.38304922,-0.30074668,0.14503339,0,"[13, 268, 28, 284]",197.0,49.79899,0.9375
88,"(0, '[54, 269, 80, 294]')",-2.433792,2.1884608,-1.8179024,-2.1522403,-1.1735237,-0.19250238,-1.0458896,0.38517016,-0.88708353,0.19953662,0,"[54, 269, 80, 294]",502.0,81.59798,1.04
89,"(0, '[421, 271, 483, 328]')",3.6402824,8.46414,-4.865231,-0.6653532,-1.6202059,0.020876847,1.5361081,0.08265622,0.8895117,0.006065256,0,"[421, 271, 483, 328]",2670.0,194.7523,1.0877193
90,"(0, '[503, 280, 514, 295]')",-1.7284781,-4.488241,-0.5636267,-0.12865143,-3.0970037,-0.5449214,-0.10002528,0.85061556,-0.9666788,-0.07704449,0,"[503, 280, 514, 295]",123.0,39.79899,0.73333335
91,"(0, '[543, 283, 555, 295]')",-1.3889341,-5.0457206,-1.9648956,-0.50886744,-4.045706,-3.0310996,-0.5405892,0.45804587,-0.2270537,0.11873682,0,"[543, 283, 555, 295]",121.0,37.55635,1.0
92,"(0, '[11, 284, 26, 297]')",1.5018953,-1.6543303,-3.9137418,1.6802872,-1.8138536,0.6873019,0.23854935,0.4053586,-0.2987672,-0.08916786,0,"[11, 284, 26, 297]",142.0,43.970562,1.1538461
93,"(0, '[167, 284, 205, 318]')",2.1955035,8.1104,-3.962159,1.558082,0.6297183,0.42359096,1.4211754,-0.04261992,0.2731515,-0.20557693,0,"[167, 284, 205, 318]",832.0,113.053825,1.117647
94,"(0, '[96, 288, 114, 306]')",0.73641205,2.4565833,-3.2913556,0.41079587,-0.65340215,-1.7748383,-1.1010642,0.30730516,-1.3645896,0.063223034,0,"[96, 288, 114, 306]",262.0,57.455845,1.0
95,"(0, '[112, 296, 146, 353]')",0.5902855,7.1338496,-3.2628372,-0.2706687,1.2143589,1.7598106,-0.3039359,0.23517373,-1.1673762,-0.21463734,0,"[112, 296, 146, 353]",1450.0,150.46803,0.5964912
96,"(0, '[73, 300, 90, 317]')",-0.6479977,1.0790758,-2.2706938,-1.4928463,-3.5645692,-3.8173354,-0.49676535,0.33950254,-0.16615021,0.11611427,0,"[73, 300, 90, 317]",240.0,54.04163,1.0
97,"(0, '[379, 300, 406, 329]')",1.1833775,2.9216075,-2.5566363,-1.8941432,-1.3650802,1.672174,-1.1365434,0.2561183,-0.50759435,0.23199332,0,"[379, 300, 406, 329]",628.0,91.59798,0.9310345
98,"(0, '[195, 307, 224, 333]')",-0.74171746,3.845153,-1.2294656,-2.2081652,-2.0071445,-1.9966314,0.19188769,0.3565492,-0.12008608,0.14673573,0,"[195, 307, 224, 333]",575.0,87.84062,1.1153846
99,"(0, '[39, 308, 59, 330]')",-0.9579345,3.0709424,-2.7888713,-0.42364123,-0.3783431,0.1716901,0.7176939,0.2538464,-0.0034903607,-0.00085441314,0,"[39, 308, 59, 330]",345.0,67.69849,0.90909094
100,"(0, '[505, 319, 529, 340]')",1.25158,-0.45694664,-4.4728923,-0.20471239,-3.0599291,-0.6735383,-0.8695208,0.38245636,-0.32572323,0.2128752,0,"[505, 319, 529, 340]",411.0,73.1127,1.1428572
101,"(0, '[485, 321, 491, 330]')",-1.2713417,-6.4047318,-1.3150765,-0.058183726,-4.5033493,-2.311698,-0.54709095,0.5296873,-0.31969944,0.05198174,0,"[485, 321, 491, 330]",47.0,23.071068,0.6666667
102,"(0, '[55, 322, 109, 381]')",3.102722,10.043959,-4.425633,1.7788222,-0.41789037,-0.0697669,1.5485989,0.2654069,0.6004183,-0.0409061,0,"[55, 322, 109, 381]",2176.0,186.26703,0.91525424
103,"(0, '[238, 325, 266, 357]')",1.1387879,5.74337,-4.2089434,0.47053748,-1.489913,0.3911405,-0.44278234,0.11078587,-0.05893954,0.15595374,0,"[238, 325, 266, 357]",675.0,95.497475,0.875
104,"(0, '[371, 332, 407, 366]')",2.4519842,5.978919,-4.0507627,-0.10608592,0.10852032,4.4557147,-0.53914446,-0.1365127,0.07304441,-0.027494421,0,"[371, 332, 407, 366]",973.0,114.91169,1.0588236
105,"(0, '[319, 334, 354, 379]')",2.3076015,7.2735486,-4.5899267,-0.88622814,-1.0063827,0.6755124,1.0232074,-0.054434534,0.84669065,0.083679676,0,"[319, 334, 354, 379]",1233.0,130.2254,0.7777778
106,"(0, '[289, 335, 310, 357]')",0.49839106,1.7637874,-3.128673,-0.4291075,-0.12090396,1.8102496,-0.9277663,0.74048674,-1.4203718,0.095187865,0,"[289, 335, 310, 357]",373.0,69.69849,0.95454544
107,"(0, '[158, 337, 178, 362]')",0.56666815,3.7977946,-2.75218,-0.7951033,-1.5498064,-0.7427279,-0.53900623,0.50825787,-0.81356984,0.10821395,0,"[158, 337, 178, 362]",388.0,71.35534,0.8
108,"(0, '[275, 346, 283, 358]')",-0.46179372,-3.1130736,-0.948989,0.4289434,-2.8480856,-2.1924512,-0.56900465,0.80089545,-1.1446689,-0.0042157145,0,"[275, 346, 283, 358]",81.0,32.485283,0.6666667
109,"(0, '[567, 350, 576, 368]')",0.56813514,-3.6087945,-1.1159161,0.5776943,-4.2853436,3.2037168,-3.8635383,-0.7592696,0.193351,0.21254724,0,"[567, 350, 576, 368]",119.0,44.142136,0.5
110,"(0, '[200, 351, 226, 379]')",0.9617427,6.095043,-2.7904963,-0.8684046,-1.6091207,-2.4531753,0.18966962,0.18845722,-0.057760365,0.118249156,0,"[200, 351, 226, 379]",588.0,88.769554,0.9285714
111,"(0, '[454, 352, 483, 382]')",2.9750679,5.824641,-4.6401224,0.040874295,-2.1064527,0.61366206,-0.59964013,-0.12351923,0.4935715,0.3016448,0,"[454, 352, 483, 382]",648.0,93.497475,0.96666664
112,"(0, '[260, 359, 296, 398]')",1.2635502,6.0909176,-2.9699638,-1.9053248,0.76883835,3.5452197,-1.4823226,0.03454118,-0.8652903,0.1279662,0,"[260, 359, 296, 398]",1109.0,123.15433,0.9230769
113,"(0, '[428, 361, 453, 398]')",3.539655,4.8330293,-4.104071,-0.98915666,-0.984844,-0.6440525,0.6768706,0.81495655,-0.9331169,-0.11328039,0,"[428, 361, 453, 398]",777.0,107.35534,0.6756757
114,"(0, '[132, 364, 140, 374]')",-1.4131508,-5.5831027,-1.2109648,-0.35009888,-3.302113,-2.3783514,0.2011195,0.39726034,0.0319907,0.019768534,0,"[132, 364, 140, 374]",63.0,27.899494,0.8
115,"(0, '[36, 367, 56, 390]')",-1.1947871,2.842421,-2.0698404,-1.6784853,-1.951757,-2.6643384,0.51691055,0.13633832,0.26172408,0.052902907,0,"[36, 367, 56, 390]",378.0,70.28427,0.8695652
116,"(0, '[486, 367, 517, 399]')",0.3706888,3.8661249,-2.186479,-1.3852149,-2.1163087,-1.1268138,0.35192093,0.6456026,-0.4621022,0.04790845,0,"[486, 367, 517, 399]",790.0,103.25484,0.96875
117,"(0, '[135, 377, 200, 474]')",1.7303597,8.180478,0.31819433,-1.4307781,-0.017124085,3.008127,0.8864033,0.8321714,-1.4983274,22.7819,0,"[135, 377, 200, 474]",4420.0,269.27924,0.6701031
